Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/09  05:00:00,15696387.565636326,15696387.565636326,14812119.15568641 
 01/09  06:00:00,17412269.85761225,17412269.857612246,15783337.952279345 
 01/09  07:00:00,21142764.71390551,21142764.713905507,123870174.90566793 
 01/09  08:00:00,23539658.69652781,23539658.696527807,138390688.61345757 
 01/09  09:00:00,35580521.89753943,35580521.89753943,125413890.04301134 
 01/09  10:00:00,35580521.89753943,35580521.89753943,112965296.75057027 
 01/09  11:00:00,35033321.89753943,35033321.89753943,108765377.60665512 
 01/09  12:00:00,32297321.897539434,32297321.897539434,102168344.82761085 
 01/09  13:00:00,30317532.498362535,30317532.49836253,112082435.23441768 
 01/09  14:00:00,32297321.897539434,32297321.897539434,95938502.93300063 
 01/09  15:00:00,32844521.897539434,32844521.89753943,93323798.04220048 
 01/09  16:00:00,35580521.89753943,35580521.89753943,90004458.27955348 
 01/09  17:00:00,35580521.89753943,35580521.89753943,89629436.65402462 
 01/09  18:00:00,25936552.67908783,25936552.679087834,111026668.35803801 
 01/09  19:00:00,19948327.444222344,19948327.44422234,110170628.98331419 
 01/09  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/09  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/09  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/09  23:00:00,11704556.735552036,11704556.735552036,484037.211727148 
 01/09  24:00:00,14445668.002732344,14445668.00273234,6541364.66895894 
 01/10  01:00:00,15711204.055955299,15711204.055955299,5899064.843637795 
 01/10  02:00:00,16404379.550880224,16404379.550880222,6655727.790955603 
 01/10  03:00:00,15793352.232282173,15793352.232282173,6036042.100688171 
 01/10  04:00:00,16862957.132621159,16862957.132621159,9121259.539325722 
 01/10  05:00:00,16047778.22378535,16047778.22378535,9601165.261329683 
 01/10  06:00:00,17786571.198927877,17786571.19892787,11347823.91928539 
 01/10  07:00:00,21142764.71390551,21142764.713905507,113973964.3959776 
 01/10  08:00:00,23539658.69652781,23539658.696527807,135859833.1112866 
 01/10  09:00:00,35580521.89753943,35580521.89753943,114109518.46299124 
 01/10  10:00:00,35580521.89753943,35580521.89753943,104148109.45421925 
 01/10  11:00:00,35009170.97079538,35009170.97079537,100358021.77435917 
 01/10  12:00:00,31950906.350250417,31950906.35025041,93265557.22635949 
 01/10  13:00:00,30246551.50536558,30246551.505365574,107029880.46598956 
 01/10  14:00:00,32179655.408775968,32179655.408775964,88729262.5889751 
 01/10  15:00:00,32297321.897539434,32297321.897539434,86475630.79609512 
 01/10  16:00:00,35580521.89753943,35580521.89753943,86059225.25567197 
 01/10  17:00:00,35580521.89753943,35580521.89753943,86495183.9319679 
 01/10  18:00:00,25936552.67908783,25936552.679087834,109342129.7291587 
 01/10  19:00:00,19948327.444222344,19948327.444222336,111074721.72171457 
 01/10  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/10  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/10  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/10  23:00:00,11534524.076916654,11534524.076916654,0.0 
 01/10  24:00:00,11205881.415921549,11205881.415921549,0.0 
 01/11  01:00:00,13158423.644994012,13158423.64499401,0.0 
 01/11  02:00:00,15054491.199090098,15054491.199090098,3227243.419891086 
 01/11  03:00:00,15513567.28113068,15513567.281130679,5657270.153330408 
 01/11  04:00:00,15793352.232282173,15793352.232282173,4238768.171143094 
 01/11  05:00:00,15603961.785081365,15603961.78508136,6777491.54606916 
 01/11  06:00:00,17254762.64624504,17254762.646245034,5883804.769949759 
 01/11  07:00:00,21142764.71390551,21142764.713905507,110878988.81520492 
 01/11  08:00:00,23539658.69652781,23539658.696527807,138470067.5295434 
 01/11  09:00:00,35580521.89753943,35580521.89753943,123207772.94107218 
 01/11  10:00:00,35580521.89753943,35580521.89753943,118364085.47492668 
 01/11  11:00:00,35033321.89753943,35033321.89753943,116726184.54195833 
 01/11  12:00:00,32057922.45167119,32057922.451671184,112405779.4371177 
 01/11  13:00:00,30062735.70852236,30062735.708522358,119674630.66956775 
 01/11  14:00:00,32221696.154255645,32221696.154255645,107739743.53268366 
 01/11  15:00:00,32297321.897539434,32297321.897539434,108374071.76124124 
 01/11  16:00:00,35580521.89753943,35580521.89753943,106787644.11758454 
 01/11  17:00:00,35580521.89753943,35580521.89753943,104784351.71984883 
 01/11  18:00:00,25936552.67908783,25936552.679087834,122519630.1736418 
 01/11  19:00:00,19948327.444222344,19948327.444222336,128626213.62909337 
 01/11  20:00:00,13931418.059538957,13931418.059538952,0.0 
 01/11  21:00:00,12669894.910823152,12669894.910823152,0.0 
 01/11  22:00:00,12669894.910823152,12669894.910823152,0.0 
 01/11  23:00:00,14037694.151396368,14037694.151396364,5978859.471834881 
