Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 07/13  20:00:00,8714830.140374747,8714830.140374745,0.0 
 07/13  21:00:00,11769894.910823154,11769894.910823152,0.0 
 07/13  22:00:00,10634524.076916654,10634524.076916654,0.0 
 07/13  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/13  24:00:00,12258423.644994013,12258423.644994013,0.0 
 07/14  01:00:00,12258423.644994013,12258423.644994013,0.0 
 07/14  02:00:00,12258423.644994013,12258423.644994013,0.0 
 07/14  03:00:00,12258423.644994013,12258423.644994013,0.0 
 07/14  04:00:00,12258423.644994013,12258423.644994013,0.0 
 07/14  05:00:00,11985288.588477325,11985288.588477321,0.0 
 07/14  06:00:00,21078705.91700362,21078705.91700362,0.0 
 07/14  07:00:00,20507973.54487644,20507973.544876439,0.0 
 07/14  08:00:00,34744594.86194124,34744594.86194124,0.0 
 07/14  09:00:00,34941866.20314423,34941866.20314422,0.0 
 07/14  10:00:00,35356167.75781715,35356167.75781715,0.0 
 07/14  11:00:00,36181884.55666792,36181884.55666792,0.0 
 07/14  12:00:00,34104445.82602262,34104445.82602262,0.0 
 07/14  13:00:00,38021648.548369709,38021648.5483697,0.0 
 07/14  14:00:00,38542568.669502448,38542568.669502448,0.0 
 07/14  15:00:00,39346890.58232149,39346890.58232149,0.0 
 07/14  16:00:00,40317845.72277228,40317845.72277228,0.0 
 07/14  17:00:00,28835862.117424419,28835862.117424419,0.0 
 07/14  18:00:00,14736594.859009458,14736594.859009458,0.0 
 07/14  19:00:00,9142231.899827417,9142231.899827416,0.0 
 07/14  20:00:00,8683451.653740915,8683451.653740913,0.0 
 07/14  21:00:00,11769894.910823154,11769894.910823152,0.0 
 07/14  22:00:00,10634524.076916654,10634524.076916654,0.0 
 07/14  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/14  24:00:00,12258423.644994013,12258423.644994013,0.0 
 07/15  01:00:00,9193157.415921549,9193157.415921549,0.0 
 07/15  02:00:00,9193157.415921549,9193157.415921549,0.0 
 07/15  03:00:00,9193157.415921549,9193157.415921549,0.0 
 07/15  04:00:00,9193157.415921549,9193157.415921549,0.0 
 07/15  05:00:00,8107919.415921549,8107919.415921549,0.0 
 07/15  06:00:00,6964339.22173519,6964339.22173519,0.0 
 07/15  07:00:00,6909512.363202122,6909512.363202122,0.0 
 07/15  08:00:00,6727092.203952517,6727092.203952517,0.0 
 07/15  09:00:00,6576842.768962327,6576842.768962326,0.0 
 07/15  10:00:00,6497732.619636231,6497732.619636231,0.0 
 07/15  11:00:00,6474628.6785975699,6474628.6785975699,0.0 
 07/15  12:00:00,6471722.509042631,6471722.509042631,0.0 
 07/15  13:00:00,6498958.468224222,6498958.468224219,0.0 
 07/15  14:00:00,6565324.986028247,6565324.986028246,0.0 
 07/15  15:00:00,6595533.488106272,6595533.488106271,0.0 
 07/15  16:00:00,6617990.5182429649,6617990.5182429649,0.0 
 07/15  17:00:00,6663439.054944699,6663439.054944699,0.0 
 07/15  18:00:00,6685382.236229925,6685382.236229925,0.0 
 07/15  19:00:00,6727839.793348975,6727839.793348975,0.0 
 07/15  20:00:00,7255598.697079114,7255598.697079114,0.0 
 07/15  21:00:00,10305881.415921547,10305881.415921547,0.0 
 07/15  22:00:00,10305881.415921547,10305881.415921547,0.0 
 07/15  23:00:00,10305881.415921547,10305881.415921547,0.0 
 07/15  24:00:00,9193157.415921549,9193157.415921549,0.0 
 07/16  01:00:00,9193157.415921549,9193157.415921549,0.0 
 07/16  02:00:00,9193157.415921549,9193157.415921549,0.0 
